معیار;زیرمعیار;کد رویکرد;عنوان رویکرد;مصادیق مستندات;هدف رویکرد;فرایندهای مرتبط;اهداف و استراتژی های مرتبط;اهداف راهبردی مرتبط;شاخص‌های مرتبط از بانک شاخص‌ها;شرح جاری سازی;مستندات مرتبط
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-ب: شناسایی و درک نیازهای ذی‌نفعان;1.2.4;چرخه بازخورد مستمر ذینفعان;گزارش سیستم بازخورد آنلاین | نتایج نظرسنجی‌های دوره‌ای | تحلیل داده‌های بازخورد و مستندات استفاده از آن در تصمیم‌گیری‌ها;پیاده‌سازی یک سیستم بازخورد آنلاین برای دریافت نظرات و پیشنهادات ذی‌نفعان به‌صورت مستمر و استفاده از آن‌ها در تصمیم‌گیری‌ها. طراحی و اجرای نظرسنجی‌های آنلاین هر شش ماه یکبار برای جمع‌آوری نظرات و نیازهای ذی‌نفعان. استفاده از ابزارهای تحلیلی برای تجزیه و تحلیل داده‌ها.;مدیریت رضایت و شکایت مشتریان (COP-253)| مدیریت ذینفعان و روابط بیرونی (MOP-132);توسعه سامانه‌های ارتباط با مشتری (CRM)|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;نمره رسیدگی به شکایات مشتریان | سرعت و اثربخشی پاسخگویی به شکایات و قدردانی از مشتریان | درصد رسیدگی به شکایات | میانگین زمان پاسخ به شکایات | سرعت و اثربخشی پاسخگویی به شکایات کارکنان | بازخورد 360 درجه | سرعت و کیفیت پاسخگویی و رسیدگی به درخواست‌ها و مشکلات مشتریان;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-ج: درک زیست‌بوم، قابلیت‌های سازمان و چالش‌های کلان;1.3.1;تحلیل محیط کلان PESTEL;گزارش تحلیل PESTEL | مستندات جلسات و نتایج تحلیل عوامل کلان تأثیرگذار;انجام تحلیل PESTEL (سیاسی، اقتصادی، اجتماعی، فناوری، محیط زیست و قانونی) برای شناسایی عوامل تأثیرگذار بر سازمان.;رصد بازار و کشف فرصت (COP-211)| مدیریت ریسک (MOP-133);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان| توسعه نظام‌های مدیریت و تعالی سازمانی;توسعه نظام های مدیریت و تعالی سازمانی;نمره پیش‌بینی تغییرات محیط زیست و بازار | درصد آمادگی سازمان برای پیش‌بینی مخاطرات و جنبه‌های زیست‌محیطی | نمره تحلیل داده‌ها و روندهای فناوری | احتمال ریسک در برابر پیامدهای ریسک | ظرفیت ریسک پذیری در برابر منابع در معرض خطر | درصد انطباق با مقررات;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-ج: درک زیست‌بوم، قابلیت‌های سازمان و چالش‌های کلان;1.3.2;تحلیل محیط عملیاتی و رقابتی;گزارش‌های تحلیل رقبا و بازار | نمودارها و داده‌های تحلیلی مرتبط;;رصد بازار و کشف فرصت (COP-211)| مدیریت ریسک (MOP-133);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;توسعه نظام های مدیریت و تعالی سازمانی;سهم بازار نسبی | رشد سهم بازار | سهم بازار | توان رقابت سازمان در بازار نسبت به رقبا | جایگاه و اعتبار برند سازمان در مقایسه با رقبا | ارزش ویژه برند | شاخص شهرت برند (شامل عملکرد اجتماعی و زیست‌محیطی) | میانگین نمره شهرت برند;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-ج: درک زیست‌بوم، قابلیت‌های سازمان و چالش‌های کلان;1.3.3;ارزیابی قابلیت‌ها و شایستگی ها;نتایج مدل‌های SWOT و VRIO | مستندات جلسات ارزیابی نقاط قوت، ضعف، فرصت‌ها و تهدیدها;استفاده از مدل‌های SWOT و VRIO برای ارزیابی نقاط قوت و ضعف داخلی سازمان و شناسایی فرصت‌ها و تهدیدهای خارجی.;توسعه مدل کسب‌وکار (MOP-123)|  مدیریت آموزش و ارتقای شغلی (SOP-312);پیاده‌سازی نظام آموزش مستمر و هدفمند| ایجاد مرکز R&D تخصصی|توانمندسازی نیروی انسانی| توسعه تحقیق و توسعه (R&D);توسعه دانش فنی| ارتقای دانش و مهارت کارکنان;پروفایل شایستگی های محوری کارکنان | ارزش افزوده سرمایه انسانی | نرخ بازده سرمایه گذاری در حوزه نوآوری | توانمندی پایپلاین نوآوری | میزان خلاقیت و نوآوری در سازمان | درصد نوآوری و تحقیق و توسعه محصولات | تعداد اختراعات، حق امتیازها، ابداعات و تألیفات ثبت شده;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-ج: درک زیست‌بوم، قابلیت‌های سازمان و چالش‌های کلان;1.3.4;رصد و پایش پویایی‌های بازار;گزارش‌های دوره‌ای بازار و روندهای صنعتی | مستندات تحلیل و تطبیق استراتژی‌ها;تحلیل منظم گزارش‌های بازار و روندهای صنعتی برای شناسایی تغییرات و تطبیق استراتژی‌ها.;رصد بازار و کشف فرصت (COP-211);توسعه بازاریابی دیجیتال و تحقیقات بازار|افزایش رضایت ذینفعان;توسعه بازاریابی دیجیتال و تحقیقات بازار;رشد فروش | رشد سهم بازار | نرخ تبدیل مشتریان بالقوه به مشتریان حقیقی | هزینه خلق مشتریان جدید | زمان عرضه به بازار | نمره پیش‌بینی تغییرات محیط زیست و بازار | تأثیرگذاری مثبت بر اقتصاد محلی، ملی، منطقه‌ای و جهانی;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-ج: درک زیست‌بوم، قابلیت‌های سازمان و چالش‌های کلان;1.3.5;برنامه‌ریزی سناریوهای آینده;صورتجلسات کارگاه‌های سناریو نویسی | سناریوهای تدوین شده و برنامه‌های عملی;برگزاری کارگاه‌های سناریو‌نویسی برای پیش‌بینی چالش‌ها و فرصت‌های آینده و تدوین برنامه‌های عملی.;مدیریت استراتژیک (MOP-111)| بازنگری مدیریت (MOP-122);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;توسعه نظام های مدیریت و تعالی سازمانی;نمره پیش‌بینی تغییرات محیط زیست و بازار | درصد آمادگی سازمان برای پیش‌بینی مخاطرات و جنبه‌های زیست‌محیطی | نمره تحلیل داده‌ها و روندهای فناوری | احتمال ریسک در برابر پیامدهای ریسک | ظرفیت ریسک پذیری در برابر منابع در معرض خطر;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-ج: درک زیست‌بوم، قابلیت‌های سازمان و چالش‌های کلان;1.3.6;شناسایی ریسک‌های کلان;گزارش نرم‌افزار مدیریت ریسک | فهرست ریسک‌ها و ارزیابی آنها;استفاده از نرم‌افزارهای مدیریت ریسک برای شناسایی و ارزیابی ریسک‌های کلان مرتبط با بازار و قابلیت‌های سازمان.;مدیریت ریسک (MOP-133);بهینه‌سازی هزینه‌های اجرایی|افزایش رضایت ذینفعان;کاهش هزینه‌ها;احتمال ریسک در برابر پیامدهای ریسک | ظرفیت ریسک پذیری در برابر منابع در معرض خطر | تعداد حوادث | زمان از دست رفته ناشی از حوادث و آسیب ها | شاخص وضوح حادثه | تعداد نقایص امنیتی در حوزه فناوری اطلاعات | نمره پایداری مالی و امنیت سازمان;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-ج: درک زیست‌بوم، قابلیت‌های سازمان و چالش‌های کلان;1.3.7;هم‌راستایی اهداف استراتژیک;مستندات جلسات بررسی استراتژیک | گزارش تطبیق اهداف استراتژیک با زیست‌بوم و قابلیت‌های داخلی;اطمینان از هم‌راستایی اهداف استراتژیک با تحلیل‌های زیست‌بوم و قابلیت‌های داخلی از طریق جلسات بررسی استراتژیک.;مدیریت استراتژیک (MOP-111)| بازنگری مدیریت (MOP-122);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;توسعه نظام های مدیریت و تعالی سازمانی;درصد دستیابی به اهداف استراتژیک | نمره تحقق اهداف تحولی | هم‌سویی اهداف فردی، تیمی و سازمانی | شفافیت و اطلاع‌رسانی اهداف، فلسفه، ارزش‌ها، چشم‌انداز و استراتژی سازمان به کارکنان | سطح آگاهی از استراتژی های سازمانی;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-د: توسعه استراتژی;1.4.1;برنامه‌ریزی و توسعه استراتژی ها;فرآیند مستندسازی توسعه استراتژی | صورتجلسات کارگروهی و نتایج حاصل از آن;طراحی یک فرآیند ساختاریافته برای توسعه استراتژی‌ها با مشارکت تمامی سطوح سازمان از طریق جلسات کارگروهی.;مدیریت استراتژیک (MOP-111)| توسعه مدل کسب‌وکار (MOP-123);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;توسعه نظام های مدیریت و تعالی سازمانی;درصد دستیابی به اهداف استراتژیک | نمره تحقق اهداف تحولی | نمره بازسازی و تغییر ساختار | نمره عملکرد پروژه‌ها و فرآیندها | عملکرد بودجه نسبت به برنامه‌ریزی‌ها | واریانس زمان بندی پروژه | واریانس هزینه یابی پروژه;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-د: توسعه استراتژی;1.4.2;مشارکت ذی‌نفعان در استراتژی ها;مستندات جلسات استراتژیک با حضور ذی‌نفعان | تحلیل داده‌های جمع‌آوری شده از ذی‌نفعان;دعوت از ذی‌نفعان برای ارائه نظرات در جلسات استراتژیک و استفاده از ابزارهای جمع‌آوری داده برای تحلیل دیدگاه‌ها.;مدیریت ذینفعان و روابط بیرونی (MOP-132);توسعه ارتباط با مشتری|افزایش رضایت ذینفعان;تعامل اثربخش و پاسخگو;میانگین نمره تجربه کلی ذی‌نفعان | میانگین نمره تجربه شرکا در تعامل با سازمان | مشارکت مشتریان در بهبود فرآیندها و توسعه محصولات یا خدمات | درصد تعهد به فعالیت‌های هم‌آفرینی | مشارکت و همکاری در توسعه و بهبود فرآیندها، محصولات و خدمات مشترک;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-د: توسعه استراتژی;1.4.3;ترجمه استراتژی‌ها به اهداف راهبردی;کارت امتیازی متوازن (BSC) تهیه شده | اهداف SMART تدوین شده برای واحدها;استفاده از مدل کارت امتیازی متوازن کاپلان و نورتون برای ترجمه استراتژی ها به اهداف راهبردی در 4 منظر مالی- مشتری- فرایندهای داخلی- رشد و یادگیری-;مدیریت استراتژیک (MOP-111)| پایش-تحلیل و بهبود مستمر (MOP-112);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;توسعه نظام های مدیریت و تعالی سازمانی;درصد دستیابی به اهداف استراتژیک | نمره تحقق اهداف تحولی | هم‌سویی اهداف فردی، تیمی و سازمانی | نسبت ارزیابی عملکرد | سیستم ارزیابی عملکرد کارکنان | عملکرد بودجه نسبت به برنامه‌ریزی‌ها;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-د: توسعه استراتژی;1.4.4;توسعه استراتژی های وظیفه ای;برنامه‌های عملیاتی و اهداف وظیفه‌ای مستند شده | گزارش پیشرفت اجرای اهداف;تبدیل و ترجمه استراتژی‌های کلان به اهداف SMART (خاص، قابل اندازه‌گیری، قابل دستیابی، مرتبط و زمان‌بندی‌شده) برای هر واحد سازمان ;مدیریت استراتژیک (MOP-111)| توسعه مدل کسب‌وکار (MOP-123);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;توسعه نظام های مدیریت و تعالی سازمانی;درصد دستیابی به اهداف استراتژیک | نمره تحقق اهداف تحولی | عملکرد فرآیندهای کلیدی سازمانی | نمره عملکرد پروژه‌ها و فرآیندها | هم‌سویی اهداف فردی، تیمی و سازمانی | کارایی عملیاتی فرآیندها;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-د: توسعه استراتژی;1.4.5;اجرای استراتژیها;مستندات اتصال استراتژی‌ها به پروژه‌ها و فرایندها | گزارش اقدامات ابتکاری و جاری سازی;اتصال استراتژی ها به فرایندها و پروژه های استراتژیک و اقدامات ابتکاری  جهت تسری و جاری سازی در سازمان;مدیریت پروژه‌ها، نظارت بر اجرا (COP-232)| دفتر مدیریت پروژه‌ها PMO (MOP-134);مدیریت پروژه‌ها| نظارت بر اجرا| دفتر مدیریت پروژه‌ها PMO|افزایش رضایت ذینفعان;توسعه نظام های مدیریت و تعالی سازمانی;درصد دستیابی به اهداف استراتژیک | نمره تحقق اهداف تحولی | نمره عملکرد پروژه‌ها و فرآیندها | واریانس زمان بندی پروژه | واریانس هزینه یابی پروژه | ارزش کسب شده | درصد موفقیت پروژه‌های تحقیق و توسعه;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-د: توسعه استراتژی;1.4.6;تخصیص منابع استراتژیک;برنامه تخصیص منابع مالی و انسانی | مستندات اولویت‌بندی منابع و پیگیری مصرف;تخصیص منابع مالی و انسانی بر اساس اولویت‌های استراتژیک و نیازهای شناسایی‌شده.;مدیریت استراتژیک (MOP-111)| مدیریت منابع مالی - مدیریت بودجه و هزینه (SOP-331);بهینه‌سازی هزینه‌های اجرایی|افزایش رضایت ذینفعان;افزایش درآمد;عملکرد بودجه نسبت به برنامه‌ریزی‌ها | نسبت هزینه های عملیاتی | هزینه های تخصیص یافته | وضعیت اجتناب از هزینه ها | درصد صرفه‌جویی در هزینه‌ها | تأمین و تخصیص منابع مالی بهینه | نسبت سرمایه کاری;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-د: توسعه استراتژی;1.4.7;بازنگری منظم استراتژی‌ها;صورتجلسات بازنگری فصلی | گزارش‌های عملکرد و اصلاحات استراتژیک;برگزاری جلسات بازنگری استراتژی‌ها به‌صورت فصلی و استفاده از داده‌های عملکرد برای اصلاح و بهبود آن‌ها.;بازنگری مدیریت (MOP-122)| پایش-تحلیل و بهبود مستمر (MOP-112);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;توسعه نظام های مدیریت و تعالی سازمانی;درصد دستیابی به اهداف استراتژیک | نمره تحقق اهداف تحولی | عملکرد بودجه نسبت به برنامه‌ریزی‌ها | نمره بازسازی و تغییر ساختار | نمره عملکرد پروژه‌ها و فرآیندها | کارایی عملیاتی فرآیندها;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-هـ: طراحی و اجرای نظام مدیریت عملکرد و حاکمیت سازمانی;1.5.1;سیستم های یکپارچه مدیریت;مستندات استقرار نظام‌های IMS و استانداردها | گواهینامه‌ها و گزارش‌های ممیزی;شناسایی، طرحریزی و استقرار نظام های مدیریت یکپارچه مبتنی بر استانداردهای بین المللی و ممیزی و اخذ گواهینامه های آنها;توسعه سیستم‌ها - خودارزیابی و ممیزی داخلی (MOP-121)| مدیریت کیفیت با الگوبرداری از ISO9001 (سیستم مدیریت کیفیت);استقرار نظام مدیریت کیفیت یکپارچه (ISO9001)| توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;توسعه نظام های مدیریت و تعالی سازمانی;امتیاز تطابقات قانونی | درصد انطباق با مقررات | شاخص کیفیت | نمره کیفیت محصولات و خدمات | کیفیت محصولات، خدمات و فرآیندها | شش سیگما | نرخ کاهش خطاها و نقص‌های محصولات و خدمات;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-هـ: طراحی و اجرای نظام مدیریت عملکرد و حاکمیت سازمانی;1.5.2;پایش استراتژی ها;داشبوردهای KPI و گزارش‌های دوره‌ای | تحلیل روندهای عملکرد;تهیه کارت امتیازی متوازن شاخص های کلیدی عملکردی مبتنی بر اهداف راهبردی واحدهای سازمان و پایش آنها طی بازه های زمانی مشخص;پایش-تحلیل و بهبود مستمر (MOP-112)| مدیریت استراتژیک (MOP-111);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;توسعه نظام های مدیریت و تعالی سازمانی;درصد دستیابی به اهداف استراتژیک | نمره تحقق اهداف تحولی | عملکرد بودجه نسبت به برنامه‌ریزی‌ها | نمره عملکرد پروژه‌ها و فرآیندها | کارایی عملیاتی فرآیندها | نسبت ارزیابی عملکرد | بهره‌وری کل;;
1. فلسفه وجودی، چشم‌انداز و استراتژی;1-هـ: طراحی و اجرای نظام مدیریت عملکرد و حاکمیت سازمانی;1.5.3;داشبورد عملکرد;نمونه داشبورد BI با KPIهای کلیدی | گزارش‌های مانیتورینگ و تحلیل داده‌ها;ایجاد KPIهای مشخص برای ارزیابی عملکرد سازمان و مانیتورینگ پیشرفت و تغییرات آن در سامانه BI ;پایش-تحلیل و بهبود مستمر (MOP-112)| مدیریت پروژه‌ها، نظارت بر اجرا (COP-232);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;توسعه نظام های مدیریت و تعالی سازمانی;درصد دستیابی به اهداف استراتژیک | نمره تحقق اهداف تحولی | عملکرد بودجه نسبت به برنامه‌ریزی‌ها | نمره عملکرد پروژه‌ها و فرآیندها | کارایی عملیاتی فرآیندها | نسبت ارزیابی عملکرد | بهره‌وری کل | بهره‌وری نیروی انسانی | شاخص کیفیت | نمره کیفیت محصولات و خدمات;;
